name,website,google_category,domain,address,phone,lat,lng,status,evidence_quote,reason
Apotheke Wutzky-Center,https://www.apo-wutzky.de/,Apotheke,apo-wutzky.de,"Joachim-Gottschalk-Weg 21, 12353 Berlin, Deutschland",+49 30 6612674,52.4228004,13.4754929,QUESTIONABLE,,Kein Text gescrapt
Medicus MVZ GmbH,http://medicusberlin.de/,Osteopath,medicusberlin.de,"Fennstraße 3, 13347 Berlin, Deutschland",+49 30 46060080,52.5415651,13.3688631,QUESTIONABLE,,Kein Text gescrapt
MVZ Policum Friedenau,https://policum.berlin/medizinische-einrichtungen/policum-berlin-friedenau,Poliklinik,policum.berlin,"Rubensstraße 119, 12157 Berlin, Deutschland",+49 30 7201100,52.4639485,13.344909,QUESTIONABLE,,Kein Text gescrapt
Bonedoctor Praxis für Orthopädie & Unfallchirurgie - Rose & Djohar,https://www.bonedoctor.de/,Orthopäde,bonedoctor.de,"Clayallee 175, 14195 Berlin, Deutschland",+49 30 8118101,52.4515578,13.2703212,QUESTIONABLE,,Kein Text gescrapt
Orthopädie Karlshorst,http://www.orthopaedie-karlshorst.de/,Arztpraxis,orthopaedie-karlshorst.de,"Weseler Str. 17, 10318 Berlin, Deutschland",+49 30 5088133,52.48328,13.5273,QUESTIONABLE,,Kein Text gescrapt
Herr Dr. med. Thomas Turczynsky,http://orthopaedie-schmargendorf.de/,Orthopäde,orthopaedie-schmargendorf.de,"Warnemünder Str. 8, 14199 Berlin, Deutschland",+49 30 897470401,52.4732275,13.2904125,QUESTIONABLE,,Kein Text gescrapt
"Dr. med. Christian Merettig, Dr. med. Wilfried Stöber",https://www.privatpraxis-orthopaede.de/,Orthopäde,privatpraxis-orthopaede.de,"Kurfürstendamm 37, 10719 Berlin, Deutschland",+49 30 88929090,52.5023899,13.3229293,NO,"Bone density measurement, also known as osteodensitometry, is a special X-ray examination (DXA: dual energy X-ray absorptiometry) that determines the mineral salt content of the bones. It provides information about how permeable the bones are to X-rays. The higher the permeability, the lower the bone density.",
Praxis am Kreuzberg,https://www.praxis-am-kreuzberg.de/,Allgemeinmediziner,praxis-am-kreuzberg.de,"Katzbachstraße 2, 10965 Berlin, Deutschland",+49 30 7858646,52.4909663,13.3764796,NO,"With our modern bioimpedance measurement from Seca, we now have a way to measure your body composition in just a few seconds.",
Dr.med. Matthias Mainka,http://www.orthozentrum26.de/,Orthopäde,orthozentrum26.de,"Kaiserdamm 26, 14057 Berlin, Deutschland",+49 30 30830670,52.5102957,13.2813748,QUESTIONABLE,,Kein Text gescrapt
Klinik für Radiologie | Charité Campus Mitte,https://radiologie.charite.de/,Akademischer Fachbereich,radiologie.charite.de,"Luisenstraße 10, 10117 Berlin, Deutschland",+49 30 450527082,52.5258536,13.378814,QUESTIONABLE,,Kein Text gescrapt
MediosApotheke Oranienburger Tor,https://www.mediosapotheke.de/standorte/oranienburgertor/,Apotheke,mediosapotheke.de,"Anike Oleski e.Kfr, Friedrichstraße 113a, 10117 Berlin, Deutschland",+49 30 2833530,52.5261177,13.387586,NO,"In regelmäßigen Abständen kontrollieren wir mit Hilfe der BIA-Messung, ob an der richtigen Stelle – nämlich am Körperfett – abgenommen wird und wertvolle Muskelmasse erhalten bleibt.",
Hochschulsport FU Berlin,https://www.hochschulsport.fu-berlin.de/,Sportanlage,hochschulsport.fu-berlin.de,"Königin-Luise-Straße 47, 14195 Berlin, Deutschland",+49 30 83853320,52.4588428,13.2899943,NO,The bioelectrical impedance analysis scale measures different resistances in the body with the help of an electrical impulse (weak current) and can conclude the components of your body.,
EVOPE Sports Performance Center,https://evope.com/,Fitnessstudio,evope.com,"Storkower Str. 105, 10407 Berlin, Deutschland",,52.5365165,13.4510837,QUESTIONABLE,,Kein Text gescrapt
Privatpraxis Orthopädie Karlshorst,https://privatpraxis-orthopaedie-karlshorst.de/,Arztpraxis,privatpraxis-orthopaedie-karlshorst.de,"Weseler Str. 17, 10318 Berlin, Deutschland",+49 30 50179833,52.483216,13.5273622,QUESTIONABLE,,Kein Text gescrapt
Radiologisches Institut | Alexianer St. Hedwig Krankenhaus,https://www.alexianer-berlin-hedwigkliniken.de/st-hedwig-krankenhaus/leistungen/ambulante-behandlung/radiologische-praxis,Medizinisches Zentrum für bildgebende Diagnostik,alexianer-berlin-hedwigkliniken.de,"Große Hamburger Straße 5-11 Hauptgebäude, OP-Flügel, Erdgeschoss, 10115 Berlin, Deutschland",+49 30 23112580,52.5258101,13.3972163,QUESTIONABLE,,Kein Text gescrapt
Praxis für Orthopädie und Unfallchirurgie Dr. med. Marc Fritschken,https://www.ouli.de/,Orthopäde,ouli.de,"Oberhofer Weg 2, 12209 Berlin, Deutschland",+49 30 7725015,52.4273979,13.3262215,QUESTIONABLE,,Kein Text gescrapt
Prof. Dr. med. Jürgen Mäurer - Radiologie Berlin-Mitte,https://radiologie-mitte-berlin.de/,Radiologe,radiologie-mitte-berlin.de,"Leipziger Str. 44, 10117 Berlin, Deutschland",+49 30 2039880,52.5102536,13.3961085,NO,Additional Services: Computed Tomography (CT) Digital X-ray Ultrasound Diagnostics Bone Density Measurement (DXA) Online Appointment,
Conradia Radiologie Berlin Charlottenburg,https://www.conradia.de/radiologie-360-berlin-charlottenburg-stuttgarter-platz/,Radiologe,conradia.de,"Bozener Str. 17, 10825 Berlin, Deutschland",+49 30 9711615,52.4870105,13.3382802,NO,In der Conradia Radiologie München Schwabing bieten wir Ihnen die Messung Ihrer Knochendichte sog. „DEXA“ Messung an... Hierdurch ist eine Früherkennung der Osteoporose möglich und bei entsprechend eingeleiteter Therapie das Knochenbruchrisiko deutlich reduzierbar.,
Pluspunkt Apotheke Potsdamer Platz,https://www.pluspunkt-apotheke.de/potsdamer-platz-berlin,Apotheke,pluspunkt-apotheke.de,"Linkstraße 4, 10785 Berlin, Deutschland",+49 30 2559220,52.5067992,13.3734385,NO,"The provided text snippets do not contain any specific sentences linking 'DEXA'/'DXA' directly with 'Körperfett', 'Fettanteil', 'Muskelmasse', 'Weichteilanalyse', or 'Gewebe'. The mentions of health and muscle-related topics are general discussions on muscle strengthening and healthcare products without reference to DXA/DEXA scans for body composition analysis.",
therapy turm65 - Physiotherapie Berlin-Moabit,https://www.therapy-turm65.de/,Physiotherapiezentrum,therapy-turm65.de,"Turmstr. 65, 10551 Berlin, Deutschland",+49 30 91203996,52.5269779,13.3302264,QUESTIONABLE,,Kein Text gescrapt
