name,website,google_category,domain,address,phone,lat,lng,status,evidence_quote,reason
Ortholist - Dr. med. Ralf Hauptmann/ Attila Takacs/ Dr.med. Stefanie Thoma,https://www.ortholist.de/,Orthopäde,ortholist.de,"Podbielskistraße 32, 30163 Hannover, Deutschland",+49 511 661021,52.3908157,9.7548837,QUESTIONABLE,,Kein Text gescrapt
Facharztpraxis für Orthopädie Dr. Dietzek & Dr. Klages Hannover,https://orthopaedie-suedstadt-hannover.de/,Orthopäde,orthopaedie-suedstadt-hannover.de,"Hildesheimer Str. 102-104, 30173 Hannover, Deutschland",+49 511 808525,52.3579819,9.7518893,QUESTIONABLE,,Kein Text gescrapt
Herr Dr. med. Farhad Mansouri,https://www.xn--hannover-orthopde-4qb.de/home.html,Arzt,xn--hannover-orthopde-4qb.de,"Schillerstraße 34, 30159 Hannover, Deutschland",+49 511 322405,52.3754841,9.7361029,QUESTIONABLE,,Kein Text gescrapt
Klaus-Joachim Herken,http://www.orthopaedie-hannover-nordstadt.de/,Orthopäde,orthopaedie-hannover-nordstadt.de,"Haltenhoffstraße 41/Haus G, 30167 Hannover, Deutschland",+49 511 715566,52.3918594,9.7135687,QUESTIONABLE,,Kein Text gescrapt
Dr. med. J. Häfker & Dr. med. A. Bünemann,http://orthomeile.de/,Orthopäde,orthomeile.de,"Fridastraße 26, 30161 Hannover, Deutschland",+49 511 311025,52.3823839,9.7445146,QUESTIONABLE,,Kein Text gescrapt
Slim Fit Factory GbR,https://www.slimfitfactory.de/,Schönheitssalon,slimfitfactory.de,"Volgersweg 13, 30175 Hannover, Deutschland",+49 511 37357765,52.37845,9.74901,NO,"The provided text snippets from Slim Fit Factory GbR sources do not mention 'DXA', 'DEXA', or body composition analysis terms such as 'Körperfett', 'Muskelmasse', or 'Weichteilanalyse' in the context of DXA/DEXA scans. The focus is primarily on methods like Kryolipolyse, Body Drain Lymphmassage, and other non-DXA/DEXA related techniques for body contouring and relaxation.",
"Orthopädie am Lindener Markt, Dr. Christoph Röper & Dr. Felix Sanner",http://www.orthopaedie-am-lindener-markt.de/,Orthopäde,orthopaedie-am-lindener-markt.de,"Falkenstraße 27, 30449 Hannover, Deutschland",+49 511 455054,52.3665338,9.7152862,QUESTIONABLE,,Kein Text gescrapt
EMS Training Körperformen Hannover-Kirchrode,http://www.koerperformen-ems-training.de/,Ernährungsberater,koerperformen-ems-training.de,"Bemeroder Str. 71, 30559 Hannover, Deutschland",+49 511 64692880,52.3485223,9.811702,NO,"Aufgrund der speziellen BIA-Technologie zählen die InBody-Systeme zu den genauesten BIA-Geräten auf dem Markt. Zahlreiche Validierungsstudien mit DEXA (Dual-Röntgen-Absorptiometrie), BodPod (Luftverdrängung), D2O Dilution (Deuteriumoxid-Verdünnung) oder Hydrostatischem Wiegen (Unterwasserwiegen) belegen die hohe Präzision der InBody-Technologie.",
"Privatpraxis für Upright-Kernspintomographie, Dr. med. Thorsten Schulze",https://mrt-hannover.de/,Radiologe,mrt-hannover.de,"Expo Plaza 10, 30539 Hannover, Deutschland",+49 511 4756690,52.32192,9.8189871,QUESTIONABLE,,Kein Text gescrapt
Röntgenpraxis Am Marstall - Radiologie & Nuklearmedizin Auf der Bult,http://www.radiologen-hannover.de/,Radiologe,radiologen-hannover.de,"Janusz-Korczak-Allee 14, 30173 Hannover, Deutschland",+49 511 121930,52.3612602,9.7781866,QUESTIONABLE,,Kein Text gescrapt
Kernspintomographie im Podbi-Park - Radiologie Nuklearmedizin Langenhagen,https://mrt-hannover-list.de/,Radiologe,mrt-hannover-list.de,"Lister Str. 6, 30163 Hannover, Deutschland",+49 511 3947910,52.3898839,9.7509878,QUESTIONABLE,,Kein Text gescrapt
miungo radiologie GmbH - Radiologisches Zentrum Hannover,https://miungo.de/,Radiologe,miungo.de,"Gabelsbergerstraße 16, 30163 Hannover, Deutschland",+49 511 95731580,52.3906138,9.7465741,QUESTIONABLE,,Kein Text gescrapt
Radiologie Schwarzer Bär MVZ,https://www.radiologie-schwarzer-baer.de/,Radiologe,radiologie-schwarzer-baer.de,"Schwarzer Bär 8, 30449 Hannover, Deutschland",+49 511 4008090,52.367771,9.7193315,QUESTIONABLE,,Kein Text gescrapt
Praxis für PET/CT Hannover,https://www.petct-hannover.de/,Medizinisches Zentrum für bildgebende Diagnostik,petct-hannover.de,"Rundestraße 10, 30161 Hannover, Deutschland",+49 511 22060450,52.3793534,9.7394942,QUESTIONABLE,,Kein Text gescrapt
Praxis für Nuklearmedizin,https://www.nuklearmedizin-hannover.de/,Radiologe,nuklearmedizin-hannover.de,"Rundestraße 10, 30161 Hannover, Deutschland",+49 511 313024,52.3793534,9.7394942,QUESTIONABLE,,Kein Text gescrapt
Herr Dr. Andreas Kasperczyk,https://aristra.de/standorte/mrt-hannover/,Radiologe,aristra.de,"Am Hohen Ufer 5A, 30159 Hannover, Deutschland",+49 511 51526615,52.3735298,9.7305703,NO,"Ein weiterer Grund für ein Ganzkörper-MRT ist ein Check der Körperzusammensetzung. Diese Untersuchung eignet sich, um die Menge an Viszeralfett abzuklären. Bei Viszeralfett handelt es sich um das Bauchfett, welches die Organe umgibt. Dieses gilt mit als Auslöser für Herz-Kreislauf-Erkrankungen, Herzinfarkte, Schlaganfälle und Diabetes.",
Orthopädie an der Oper,http://www.orthopaedieanderoper.de/,Orthopäde,orthopaedieanderoper.de,"Theaterstraße 15, 30159 Hannover, Deutschland",+49 511 2200140,52.3742389,9.7422271,QUESTIONABLE,,Kein Text gescrapt
Herr Dr. med. Helmut Trübenbach,https://www.orthopaedie-galerie-luise.de/,Arzt,orthopaedie-galerie-luise.de,"Joachimstraße 3, 30159 Hannover, Deutschland",+49 511 51526688,52.3750043,9.7429522,QUESTIONABLE,,Kein Text gescrapt
Orthopädie Zentrum Hannover,http://orthopaedie-zentrum-hannover.de/,Orthopäde,orthopaedie-zentrum-hannover.de,"Joachimstraße 1, 30159 Hannover, Deutschland",+49 511 70052070,52.375073,9.7422266,QUESTIONABLE,,Kein Text gescrapt
Orthopädie am Lindener Markt,http://www.ortho-han.de/,Orthopäde,ortho-han.de,"Falkenstraße 27, 30449 Hannover, Deutschland",+49 511 455054,52.3665338,9.7152862,QUESTIONABLE,,Kein Text gescrapt
Dr. Hiltrud von der Haar,http://xn--frauenrztinnen-hannover-07b.de/,Frauenarzt/-ärztin,xn--frauenrztinnen-hannover-07b.de,"Podbielskistraße 311, 30659 Hannover, Deutschland",+49 511 6404010,52.406084,9.7988328,QUESTIONABLE,,Kein Text gescrapt
MRT Privatpraxis am hohen Ufer - Orthocentrum Hannover - Laatzen,https://www.orthocentrum-laatzen.de/privatpraxis-mrt/,Arzt,orthocentrum-laatzen.de,"Am Hohen Ufer 5A, 30159 Hannover, Deutschland",+49 511 51534030,52.3735298,9.7305703,QUESTIONABLE,,Kein Text gescrapt
Frau Dr. med. Anke Zapfe,http://www.frauenaerzte-hannover.de/,Frauenarzt/-ärztin,frauenaerzte-hannover.de,"Podbielskistraße 311, 30659 Hannover, Deutschland",+49 511 6404010,52.40607,9.79879,QUESTIONABLE,,Kein Text gescrapt
Frauenärztinnen,http://xn--frauenrztinnenhannover-54b.com/,Frauenklinik,xn--frauenrztinnenhannover-54b.com,"Podbielskistraße 311/2.OG, 30659 Hannover, Deutschland",+49 511 6404010,52.406084,9.7988328,QUESTIONABLE,,Kein Text gescrapt
KKH Kaufmännische Krankenkasse Hauptverwaltung,https://www.kkh.de/,Krankenversicherungsagentur,kkh.de,"Karl-Wiechert-Allee 61, 30625 Hannover, Deutschland",+49 800 5548640554,52.3918199,9.7967729,NO,"The provided text snippets primarily discuss digital prevention courses and general health insurance information, including benefits, contributions, and how to become a member. There is no mention of DXA/DEXA scans or body composition analysis related to fat %, muscle mass, lean mass, or visceral fat. The content focuses on nutrition and weight management through online courses and does not mention any diagnostic imaging tests like DXA/DEXA directly linked to body composition measurement.",
Dr. Marc Charlon,http://www.dr-charlon.de/,Frauenarzt/-ärztin,dr-charlon.de,"Limburgstraße 8, 30159 Hannover, Deutschland",+49 511 323131,52.37471,9.7347202,QUESTIONABLE,,Kein Text gescrapt
Radcura Radiologiezentrum Hannover,https://www.radcura.de/,Radiologe,radcura.de,"Am Hohen Ufer 5A, 30159 Hannover, Deutschland",+49 511 87988208,52.3735298,9.7305703,QUESTIONABLE,,Kein Text gescrapt
Beauty Institut Coolini,https://www.coolini.de/,Kosmetische Gesichtsbehandlungen,coolini.de,"Berliner Allee 12, 30175 Hannover, Deutschland",+49 173 9243662,52.3771596,9.7488191,NO,"Körperanalyse mit Tanita MC 780... Messung der HRV mit Nilas MV... BQAS Vital Scan... Tanita MC-780 Waage ➤ Hand- und Fußsensoren messen aktuelle Körperwerte, wie zB. Fett, Muskel, Wasser der einzelnen Segmente, den Sarkopenie-Index, Grundumsatz in kcal und interessant Ihr metabolisches Alter.",
PRIMENOSTICS – Privatpraxis für Radiologie und Nuklearmedizin,https://primenostics-hannover.de/,Radiologe,primenostics-hannover.de,"Am Hohen Ufer 5A, 30159 Hannover, Deutschland",+49 511 87989159,52.3735298,9.7305703,NO,"The extensive text provided details various types of MRI diagnostics across numerous parts of the body, but does not mention DEXA/DXA or any related terms like 'Körperfett', 'Muskelmasse', or 'Fettanteil'. The focus is entirely on MRI technology and its applications, without any reference to DEXA/DEXA Body Composition scans or the specified body composition analysis (fat %, muscle mass, lean mass, visceral fat).",
